Group,Site,Aquatic,Aquatic CI,ITL,ITL CI
Corbiculidae,Semi-Arid,41.2633328071188,"(13, 73)",0.0,"( 0.0, 0.0)"
Corbiculidae,Transition,30.100698547458514,"( 6, 57)",0.2,"(-0.1, 0.6)"
Corbiculidae,Sub-Humid,20.157252474669654,"( 4, 48)",0.8,"( 0.7, 0.9)"
L.cyanellus,Semi-Arid,61.7813122634184,"(22, 92)",0.7,"( 0.2, 1.2)"
L.cyanellus,Transition,33.440845845998815,"( 8, 52)",1.1,"( 1.0, 1.3)"
L.cyanellus,Sub-Humid,17.62481347026546,"( 3, 45)",2.2,"( 2.0, 2.4)"
L.gulosus,Semi-Arid,62.460103969963555,"(28, 92)",0.7,"( 0.1, 1.3)"
L.gulosus,Transition,34.86254540063127,"( 8, 67)",1.8,"( 1.7, 1.9)"
L.gulosus,Sub-Humid,12.35102393564349,"( 2, 33)",1.9,"( 1.9, 2.0)"
L.macrochirus,Semi-Arid,61.096183652723326,"(25, 91)",0.7,"( 0.2, 1.1)"
L.macrochirus,Transition,36.33608529214268,"(16, 52)",1.3,"( 1.1, 1.6)"
L.macrochirus,Sub-Humid,7.819825457925096,"( 1, 19)",2.6,"( 2.0, 3.2)"
P.latipinna,Semi-Arid,80.42466344072066,"(61, 96)",0.4,"( 0.2, 0.6)"
P.latipinna,Transition,39.09826939538259,"( 8, 76)",1.6,"( 1.1, 2.1)"
P.latipinna,Sub-Humid,18.4884935939546,"( 3, 49)",2.2,"( 1.9, 2.7)"
